,normalized_importance
transaction_sequence,0.2007628530363764
oldbalanceOrg,0.142454204206265
type,0.1304523634135368
amount_to_oldbalanceOrg,0.11059561272831052
hourOfDay,0.07428649697732227
numReceived,0.04335783379060575
numUniqueOrig,0.032832210698360835
sequence_frequency,0.032656965618640926
transactionRecency,0.02649644931441573
indeg_cnt_diff,0.02590305642464905
step,0.025221870367166235
oldbalanceDest,0.01613657125570971
receiver_indeg_cnt,0.014263765986281325
amountLog,0.0105777995780066
typeHighValueFlag,0.01036311318446542
stdReceived,0.010160676526127814
outdeg_amt_diff,0.009427874322839315
sender_outdeg_amt,0.009190660846352061
meanSent,0.009129163745983826
maxAmountReceived,0.007762613560332006
totalSent,0.007710773581681697
std_to_mean_ratio,0.007425609893989409
day,0.006842020030275744
dayOfWeek,0.005630621638770468
stdAmountReceived,0.005610341097579592
