,0
transaction_sequence,0.04017754997349515
oldbalanceOrg,0.033336788706772404
type,0.026496664329268907
hourOfDay,0.017467640425030215
numReceived,0.010828395759151746
numUniqueOrig,0.008438669636637197
indeg_cnt_diff,0.0066428906986093815
transactionRecency,0.006321480062163789
step,0.00593823270760627
sequence_frequency,0.005753126133082129
receiver_indeg_cnt,0.0035946998180222396
typeHighValueFlag,0.0026025619039317157
sender_outdeg_amt,0.002144117650210691
oldbalanceDest,0.002041921122087679
amount_to_oldbalanceOrg,0.0017643043276758382
maxAmountReceived,0.0017154613929457828
outdeg_amt_diff,0.0017018592850288022
amountLog,0.0016475963228443388
day,0.0016446713464647578
totalSent,0.001396889208066505
meanSent,0.0013964834987799843
std_to_mean_ratio,0.0013787135675037213
dayOfWeek,0.0013666726995682768
receiver_indeg_amt,0.0012764440562572268
stdReceived,0.0011119825223024002
indeg_amt_diff,0.0009606418535342238
stdAmountReceived,0.0009094799412185031
totalReceived,0.0008172606084279754
avgAmountToDest,0.0007544316168733024
meanReceived,0.0006478604980641137
btwn_diff,0.0
sender_indeg_cnt,0.0
stdSent,0.0
sequence_count,0.0
sender_outdeg_cnt,0.0
is_cashin_cashout,0.0
is_transfer_transfer,0.0
sender_indeg_amt,0.0
receiver_outdeg_cnt,0.0
receiver_outdeg_amt,0.0
is_cashin_transfer,0.0
receiver_btwn,0.0
pctForwarded24h,0.0
outdeg_cnt_diff,0.0
is_cashin_transfer_cashout,0.0
is_cashout_transfer,0.0
is_early_transaction,0.0
is_first_transfer,0.0
numUniqueDest,0.0
numSent,0.0
is_transfer_cashout,0.0
sender_btwn,0.0
