,0
amount_to_oldbalanceOrg,1.3787097
transaction_sequence,0.5907212
type,0.36367527
oldbalanceOrg,0.16947888
sequence_frequency,0.13654497
oldbalanceDest,0.10888256
hourOfDay,0.08407195
stdReceived,0.0775447
amountLog,0.055391215
meanSent,0.04912264
outdeg_amt_diff,0.03730133
amount,0.030577099
totalSent,0.030249596
step,0.028151674
stdAmountReceived,0.027537184
std_to_mean_ratio,0.02739933
transactionRecency,0.025273925
avgAmountToDest,0.02208811
indeg_amt_diff,0.019082068
numReceived,0.016320892
meanReceived,0.01529566
maxAmountReceived,0.014464681
sender_outdeg_amt,0.011278529
totalReceived,0.0070712273
day,0.005889594
receiver_indeg_amt,0.004361414
dayOfWeek,0.0041644927
receiver_indeg_cnt,0.0036938693
typeHighValueFlag,0.0031548315
indeg_cnt_diff,0.0007663294
is_early_transaction,0.0
sequence_count,0.0
outdeg_cnt_diff,0.0
numSent,0.0
pctForwarded24h,0.0
pairFrequency,0.0
receiver_outdeg_cnt,0.0
sender_indeg_cnt,0.0
sender_outdeg_cnt,0.0
pctUniqueDest,0.0
receiver_outdeg_amt,0.0
sender_indeg_amt,0.0
pctUniqueOrig,0.0
btwn_diff,0.0
receiver_btwn,0.0
sender_btwn,0.0
is_cashin_cashout,0.0
is_first_transfer,0.0
is_transfer_transfer,0.0
is_cashin_transfer_cashout,0.0
stdSent,0.0
is_cashin_transfer,0.0
is_transfer_cashout,0.0
is_cashout_transfer,0.0
